연월,공급업체명,공급업체유형,계약내역,계약유형
2023-08,(주)금강토건,중소기업,SLP취수로 교량조성공사 3차기성고 직불,공사
2023-07,(주)우진엔텍,중소기업,2023년도 신보령 1호기 계측제어분야 계획예방정비공사,공사
2023-08,제일이엔지건설(주),중소기업,"보령신복합 1호기 신축부지 지장물 해체공사,23-(공)친00",공사
2023-06,대윤계기산업(주),중소기업,복합 1호기 수질분석설비 제작 구매,구매
2023-05,(주)성일터빈,중소기업,23-현장-01 1차 협약금지급(성일터빈),구매
2023-09,덕산넵코어스 주식회사,중소기업,보령ㆍ신보령발전본부 통합 드론식별체계 추가 도입(설치포함),구매
2023-09,한일방식(주),중소기업,신보령 항만시설 강관파일 TAPE방식 보수공사(수정),공사
2023-06,대산플랜트,중소기업,"복합 1호기 GT#1, ST#1 발전기 회전자 반출 정비",공사
2023-03,보령해운개발(주),중소기업,매립석탄재 운반 및 재활용 2월 기성고 지급,용역
2023-10,주식회사 코펙,중소기업,제5호기 탈황설비 OH용 GGH ELEMENT 제작,구매
2023-07,(주)태영전기,중소기업,"보령복합발전소 소방설비(전기분야) 최적개선공사,C23P-공(복)17-00",공사
2023-10,(주)포위스,중소기업,서울본부 HRSG 개선용 탈부착식 안전플레이트 구매,구매
2023-07,고려공업검사(주),중소기업,기성고 지불의뢰(#8 비파괴),공사
2023-11,주식회사 한빛산업,중소기업,"제 7,8호기 터빈 조속기 Actuator",공사
2023-08,(주)에네스지,중소기업,제8호기 MAIN TBN ROTOR 건전성평가 용역,공사
2023-05,(주)비에스컴퍼니,중소기업,보령복합발전소 소방설비 최적개선공사 일반자재 구매,구매
2023-05,부경산업개발(주),중소기업,보령항로(항계 내)준설공사,공사
2023-12,대상오션(주),중소기업,2023년 항로표지물 관리 및 보수공사,공사
2023-02,(주)원프랜트,중소기업,2023년 발전위탁 01월 기성고,공사
2023-09,(주)원프랜트,중소기업,2023년 발전위탁 08월 기성고,공사
2023-12,보령해운개발(주),중소기업,매립석탄재 운반 및 재활용 11월 기성고 지급,용역
